age,sleep_hours,morning_freshness,screen_time,use_phone_before_sleep,stress_level,phone_anxiety,health_app_use,sleep_quality,phone_affects_sleep,screen_sleep_ratio,age_group,sleep_category,morning_freshness_encoded,use_phone_before_sleep_encoded,phone_anxiety_encoded,health_app_use_encoded,sleep_quality_encoded,phone_affects_sleep_encoded,age_scaled,sleep_hours_scaled,screen_time_scaled,stress_level_scaled,screen_sleep_ratio_scaled
18,6.0,yes,6.0,yes,5,no,no,bad,yes,1.0,<=18,low,2,1,0,0,0,2,0.07500000000000001,0.3684210526315789,0.24324324324324326,0.4444444444444445,0.10256410256410257
20,8.0,no,7.0,yes,7,no,yes,bad,yes,0.875,19-25,adequate,0,1,0,1,0,2,0.125,0.5789473684210527,0.2972972972972973,0.6666666666666665,0.08653846153846155
21,6.5,no,10.0,yes,8,yes,yes,bad,yes,1.5384615384615385,19-25,low,0,1,1,1,0,2,0.15000000000000002,0.4210526315789473,0.4594594594594595,0.7777777777777777,0.17159763313609472
17,9.0,yes,10.0,yes,4,no,no,good,yes,1.1111111111111112,<=18,adequate,2,1,0,0,1,2,0.050000000000000044,0.6842105263157894,0.4594594594594595,0.3333333333333333,0.11680911680911683
21,7.0,no,10.0,yes,5,no,yes,good,no,1.4285714285714286,19-25,low,0,1,0,1,1,0,0.15000000000000002,0.47368421052631576,0.4594594594594595,0.4444444444444445,0.1575091575091575
31,5.0,no,6.0,yes,3,no,no,bad,not sure,1.2,26-35,very_low,0,1,0,0,0,1,0.4,0.2631578947368421,0.24324324324324326,0.2222222222222222,0.1282051282051282
18,9.0,no,10.0,yes,7,yes,no,bad,not sure,1.1111111111111112,<=18,adequate,0,1,1,0,0,1,0.07500000000000001,0.6842105263157894,0.4594594594594595,0.6666666666666665,0.11680911680911683
31,5.0,no,18.0,yes,5,no,yes,good,no,3.6,26-35,very_low,0,1,0,1,1,0,0.4,0.2631578947368421,0.8918918918918919,0.4444444444444445,0.43589743589743596
53,7.0,yes,2.0,yes,8,no,no,good,not sure,0.2857142857142857,50+,low,2,1,0,0,1,1,0.9500000000000002,0.47368421052631576,0.02702702702702703,0.7777777777777777,0.010989010989010985
18,8.0,yes,7.0,yes,4,no,no,good,yes,0.875,<=18,adequate,2,1,0,0,1,2,0.07500000000000001,0.5789473684210527,0.2972972972972973,0.3333333333333333,0.08653846153846155
18,8.5,no,12.0,yes,5,yes,no,good,not sure,1.411764705882353,<=18,adequate,0,1,1,0,1,1,0.07500000000000001,0.631578947368421,0.5675675675675675,0.4444444444444445,0.15535444947209653
21,10.0,yes,8.0,yes,4,no,yes,good,not sure,0.8,19-25,high,2,1,0,1,1,1,0.15000000000000002,0.7894736842105263,0.35135135135135137,0.3333333333333333,0.07692307692307694
17,7.5,no,8.0,yes,8,no,no,good,not sure,1.0666666666666667,<=18,adequate,0,1,0,0,1,1,0.050000000000000044,0.5263157894736843,0.35135135135135137,0.7777777777777777,0.11111111111111112
17,7.0,yes,3.5,yes,6,no,yes,bad,yes,0.5,<=18,low,2,1,0,1,0,2,0.050000000000000044,0.47368421052631576,0.10810810810810811,0.5555555555555556,0.038461538461538464
17,6.0,no,4.0,yes,6,no,no,bad,yes,0.6666666666666666,<=18,low,0,1,0,0,0,2,0.050000000000000044,0.3684210526315789,0.13513513513513514,0.5555555555555556,0.059829059829059825
16,8.0,yes,8.0,yes,1,no,no,good,yes,1.0,<=18,adequate,2,1,0,0,1,2,0.025000000000000022,0.5789473684210527,0.35135135135135137,0.0,0.10256410256410257
47,4.0,yes,11.0,yes,10,no,no,bad,yes,2.75,36-50,very_low,2,1,0,0,0,2,0.8,0.15789473684210525,0.5135135135135136,1.0,0.3269230769230769
48,4.0,no,8.0,no,7,yes,yes,bad,yes,2.0,36-50,very_low,0,0,1,1,0,2,0.8250000000000002,0.15789473684210525,0.35135135135135137,0.6666666666666665,0.23076923076923078
40,7.0,sometimes,10.0,no,4,no,yes,bad,yes,1.4285714285714286,36-50,low,1,0,0,1,0,2,0.625,0.47368421052631576,0.4594594594594595,0.3333333333333333,0.1575091575091575
26,10.0,yes,5.0,yes,1,yes,no,good,no,0.5,26-35,high,2,1,1,0,1,0,0.275,0.7894736842105263,0.1891891891891892,0.0,0.038461538461538464
47,5.0,yes,7.0,yes,7,yes,no,good,yes,1.4,36-50,very_low,2,1,1,0,1,2,0.8,0.2631578947368421,0.2972972972972973,0.6666666666666665,0.15384615384615385
51,6.0,no,8.0,yes,7,no,no,good,not sure,1.3333333333333333,50+,low,0,1,0,0,1,1,0.9000000000000001,0.3684210526315789,0.35135135135135137,0.6666666666666665,0.14529914529914528
20,9.0,sometimes,3.0,no,1,no,no,good,no,0.3333333333333333,19-25,adequate,1,0,0,0,1,0,0.125,0.6842105263157894,0.08108108108108109,0.0,0.01709401709401709
21,5.0,yes,9.0,no,7,no,no,bad,no,1.8,19-25,very_low,2,0,0,0,0,0,0.15000000000000002,0.2631578947368421,0.40540540540540543,0.6666666666666665,0.20512820512820518
40,8.0,no,5.0,yes,4,yes,no,good,no,0.625,36-50,adequate,0,1,1,0,1,0,0.625,0.5789473684210527,0.1891891891891892,0.3333333333333333,0.05448717948717949
17,6.0,sometimes,9.0,yes,6,yes,no,good,not sure,1.5,<=18,low,1,1,1,0,1,1,0.050000000000000044,0.3684210526315789,0.40540540540540543,0.5555555555555556,0.16666666666666669
34,4.0,sometimes,12.0,no,9,yes,no,bad,yes,3.0,26-35,very_low,1,0,1,0,0,2,0.4750000000000001,0.15789473684210525,0.5675675675675675,0.8888888888888888,0.35897435897435903
52,6.0,no,9.0,no,6,no,no,bad,yes,1.5,50+,low,0,0,0,0,0,2,0.925,0.3684210526315789,0.40540540540540543,0.5555555555555556,0.16666666666666669
29,7.0,no,7.0,yes,4,no,no,good,yes,1.0,26-35,low,0,1,0,0,1,2,0.3500000000000001,0.47368421052631576,0.2972972972972973,0.3333333333333333,0.10256410256410257
39,8.0,yes,6.0,no,6,yes,no,good,no,0.75,36-50,adequate,2,0,1,0,1,0,0.6000000000000001,0.5789473684210527,0.24324324324324326,0.5555555555555556,0.07051282051282053
44,4.0,yes,11.0,no,8,yes,no,bad,yes,2.75,36-50,very_low,2,0,1,0,0,2,0.7250000000000001,0.15789473684210525,0.5135135135135136,0.7777777777777777,0.3269230769230769
17,9.0,no,5.0,no,4,no,yes,good,no,0.5555555555555556,<=18,adequate,0,0,0,1,1,0,0.050000000000000044,0.6842105263157894,0.1891891891891892,0.3333333333333333,0.04558404558404559
47,4.0,sometimes,11.0,no,7,no,yes,bad,yes,2.75,36-50,very_low,1,0,0,1,0,2,0.8,0.15789473684210525,0.5135135135135136,0.6666666666666665,0.3269230769230769
40,8.0,yes,4.0,no,5,no,yes,good,no,0.5,36-50,adequate,2,0,0,1,1,0,0.625,0.5789473684210527,0.13513513513513514,0.4444444444444445,0.038461538461538464
25,9.0,yes,6.0,no,5,no,no,good,no,0.6666666666666666,19-25,adequate,2,0,0,0,1,0,0.25,0.6842105263157894,0.24324324324324326,0.4444444444444445,0.059829059829059825
15,10.0,no,2.0,no,5,no,no,good,no,0.2,<=18,high,0,0,0,0,1,0,0.0,0.7894736842105263,0.02702702702702703,0.4444444444444445,0.0
21,8.0,no,4.0,no,1,yes,yes,good,no,0.5,19-25,adequate,0,0,1,1,1,0,0.15000000000000002,0.5789473684210527,0.13513513513513514,0.0,0.038461538461538464
53,10.0,sometimes,4.0,no,2,yes,no,good,no,0.4,50+,high,1,0,1,0,1,0,0.9500000000000002,0.7894736842105263,0.13513513513513514,0.1111111111111111,0.025641025641025647
33,6.0,yes,9.0,yes,5,no,no,good,no,1.5,26-35,low,2,1,0,0,1,0,0.45000000000000007,0.3684210526315789,0.40540540540540543,0.4444444444444445,0.16666666666666669
54,9.0,yes,4.0,no,2,no,no,good,no,0.4444444444444444,50+,adequate,2,0,0,0,1,0,0.9750000000000001,0.6842105263157894,0.13513513513513514,0.1111111111111111,0.031339031339031334
